English,Spanish
aerometer,aerómetro
aeromodeller,aeromodelista
aeromodelling,aeromodelismo
aeronautic,aeronáutico
aeronautical,aeronáutico
aeronautics,aeronáutica
Aeronian,Aeroniense
aerophobic,aerófobo
aerophone,aerófono
aerosol,aerosol
aerosol can,lata de aerosol
aerospace,aeroespacio
aerospace,aeroespacial
aerospatial,aeroespacial
aerostat,"aerostato, aeróstato"
aerostatics,aerostática
aerothermal,"aerotérmico, aerotérmica"
aerotrain,aerotrén
Aeschylus,Esquilo
Aesculapian snake,culebra de Esculapio
Aesculapius,Esculapio
Aesop,Esopo
Aesopian,esópico
aesthete,esteta
aesthetic,estético
aesthetically,estéticamente
aestheticism,esteticismo
aesthetics,estética
aestivation,estivación
Aether,Èter
aetiology,etiología
aetiopathogenesis,etiopatogenia
Aetolia,Etolia
aeviternity,eviternidad
afar,"a lo lejos, lejos"
Afar,afar
a few,"unos, algunos"
a few,pocos
affability,afabilidad
affable,afable
affable,"amable, tranquilo"
affair,negocio
affair,asunto
affair,"asunto, rollo, amorío, aventura, devaneo, escarceo amoroso, lío de faldas"
affair,partes
affect,afectar
affect,"afectar, conmover"
affect,fingir
affectable,afectable
affectation,afectación
affected,"afectado, aquejado"
affecting,conmovedor
affection,afecto
affection,"cariño, apego, afecto"
affectionate,afectuoso
affectionate,cariñoso
affectionately,afectuosamente
affective,afectivo
afferent,aferente
affidavit,"declaración jurada, affidávit"
affiliate,"afiliado, afiliada, filial"
affiliate,"afiliar, asociar"
affiliation,"afiliación, filiación"
affine transformation,transformación afín
affinity,afinidad
affirm,afirmar
affirmation,afirmación
affirmative,afirmativo
affirmative,positivo
affirmative,afirmativa
affirmatively,afirmativamente
affirmative sentence,frase afirmativa
affix,afijo
affix,"fijar, pegar"
afflatus,inspiración
afflict,afligir
afflicted,"aquejado, atribulado"
affliction,"aflicción, tribulación, quebranto"
afflictive,aflictivo
affluence,"abundancia, afluencia, prosperidad"
affluent,ricachón [pejorative]
affluent,abundante
affluent,"adinerado, rico"
affluent,afluente
afford,"costear, permitirse"
affordable,"asequible, económico"
affordance,ofrecimiento
afforest,"forestar, arborizar"
affreightment,"fletamento, flete (hiring of a cargo vehicle)"
affricate,africada
affront,"afrentar, ofender"
affront,"afrontar, confrontar"
affront,"afrenta, afruenta, baldón"
Afghan,"afgano, afgana"
Afghan,afgano
Afghan Hound,lebrel afgano
afghani,afgani
Afghanistan,Afganistán
afire,ardiendo
aflame,"en llamas, llameante"
afloat,a flote
aflutter,agitado
afoot,"a pie, andando, en curso"
afoot,"en pie, de pie"
afoot,"en marcha, en curso"
aforementioned,"ya mencionado, antedicho, sobredicho, susodicho, citado, dicho"
aforesaid,"antedicho, sobredicho, susodicho"
a fortiori,a fortiori
afoul,en conflicto con
afraid,"con miedo, con temor, con susto, asustado"
afraid,temerse que
afresh,"de nuevo, otra vez"
Africa,África
African,africano
African,"africano, africana"
African-American,afroamericano
African-American,"afroamericano, afroamericana"
African blue tit,"herrerillo canario, herrerillo africano"
African elephant,elefante africano
Africanism,africanismo
Africanization,africanización
Africanize,africanizar
African Union,Unión Africana
African violet,violeta africana
Afrikaans,afrikáans
Afrikaner,"afrikáner, bóer"
afro,afro
Afro,afro-
afrobeat,afrobeat
Afro-Eurasia,"Eurafrasia, África-Eurasia, Afroeurasia"
Afrophobia,afrofobia
aft,a popa
after,después
after,después de
after,"detrás de, tras"
after,"tras, detrás de"
after,por
after,"debido a, por causa de"
after,a pesar de
after all,"después de todo, al final"
afterbirth,alumbramiento
afterbrain,mielencéfalo
afterburner,postquemador
after dark,después de anochecer
aftereffect,efecto secundario
afterimage,"imagen residual, imagen remanente"
afterlife,"ultratumba, más allá, inframundo, otro mundo, orco, ultravida, submundo, lo de allá"
aftermath,"consecuencias, resultados"
afternoon,tarde
after-party,after
aftershock,réplica
aftertaste,"regusto, resabio"
after the fact,a toro pasado
afterthought,idea tardía
afterthought,ocurrencia tardía
afterwards,"después, consecuentemente, en seguida"
again,"otra vez, de nuevo, nuevamente"
again,de nuevo
again and again,una y otra vez
against,contra
against,cerca de
against,"contra, frente"
against,"en contra, enfrente, en pugna"
against,en contra
against all odds,"contra todo pronóstico, contra viento y marea"
against the clock,"contra reloj, contra el reloj, contrarreloj"
against the grain,"contramano, a contracorriente"
agalactia,agalactia
Agamemnon,Agamenón
agami,"agamí, trompetero"
aganglionic,agangliónico
agape,boquiabierto
agape,ágape
agarwood,"agáloco, áloe"
agate,ágata
Agatha,Águeda
agave,"maguey, agave, pita"
age,años
age,edad
age,"edad, era, época"
age,"época, era"
age,generación
age,"edad, edades"
age,tercera edad
age,mayoría
age,envejecer
age,envejecerse
aged,"viejo, anciano"
ageless,eterno
ageless,siempre joven
agency,albedrío
agency,"agency [philosophy], agencia [philosophy]"
agency,agencia
agency,"oficina, agencia"
agenda,programa
agenda,orden del día
agenda,agenda
agent,agente
agent noun,nombre de agente
Agent Orange,Agente Naranja
agent provocateur,agente provocador
age of majority,mayoría de edad
ageusia,ageusia
agglomeration,aglomeración
agglutination,aglutinación
agglutinative,aglutinante
aggrandizement,engrandecimiento
aggravate,"agravar, empeorar"
aggravate,"irritar, exasperar, sublevar"
aggravation,agravio
aggravation,agravante
aggregate,"agregado, conjunto"
aggregate,agregado
aggregate,"total, conjunto"
aggregate,"agregado, conglomerado"
aggregate,"juntar, sumar"
aggression,agresión
aggressive,agresivo
aggressively,agresivamente
aggressiveness,agresividad
aggressor,"agresor, agresora"
aggrieved,"ofendido, herido"
aghast,"espantado, aterrado, horrorizado"
agile,ágil
agile gibbon,gibón ágil
agilely,ágilmente
agility,agilidad
aging,envejecimiento
agio,agio
agitate,agitar
agitate,perturbar
agitation,"agitación, desasosiego"
agitation,inquietud
agitator,"agitador, agitadora"
Aglaia,Aglaya
agnate,agnado
agnathan,agnato
agnation,agnación
Agnes,Inés
agnolotti,añolotis
agnomen,"agnomento, agnombre"
agnostic,agnóstico
agnostic,"agnóstico, agnóstica"
agnosticism,agnosticismo
agnotology,agnotología
ago,"hace [used before the time], atrás [used after the time]"
agog,"ansioso, curioso"
agonize,agonizar
agonizing,"terrible, angustioso"
agony,"agonía, angustia"
agony,agonía
agony aunt,doctora corazón
a good beginning makes a good ending,"lo que bien empieza bien acaba, quien bien empieza bien acaba"
agora,ágora
agoraphobia,agorafobia
agoraphobic,agorafóbico
agorism,agorismo
agouti,"agutí, [Peru] añuje, [El Salvador, Guatemala] cotuza, [Costa Rica, Honduras, Nicaragua] guatusa, [Bolivia] jochi colorado, [Colombia, Panama] ñeque, [Venezuela] picure, [Mexico] sereque"
Agra,Agra
agrarian,agrario
agrarianism,agrarismo
agree,"estar de acuerdo, coincidir"
agree,"acceder, asentir"
agree,consensuar
agree,concordar
agreeable,"lisonjero, agradable"
agreeable,dispuesto
agreeable,conforme
agreeableness,amabilidad
agreeably,agradablemente
agreed,"de acuerdo, concordo"
agreement,"acuerdo, convenio"
agreement,acuerdo
agreement,"acuerdo, convenio, contrato"
agreement,concordancia
agreement in principle,principio de acuerdo
agree to disagree,"para ti la perra gorda [Spain, colloquial; old-fashioned]"
agribusiness,agronegocio
agricultural,agrícola
agriculture,agricultura
agriculturist,"agricultor, agricultora"
agriculturist,agrícola
agriculturize,agriculturizar
Agrigento,Agrigento
agrimi,kri-kri
agrimony,agrimonia
agritourism,agroturismo
agro,agro-
agrobiology,agrobiología
agrobiotechnology,agrobiotecnología
agrochemistry,agroquímica
agroclimatic,agroclimático
agroecological,agroecológico
agroecology,agroecología
agro-environmental,agroambiental
agrofuel,agrocombustible
agroindustry,agroindustria
agrology,agrología
agronomic,agronómico
agronomist,agrónomo
agronomy,agronomía
agrotechnical,agrotécnico
aground,"encallado, varado"
Aguascalientes,Aguascalientes
ague,fiebre intermitente
ague,escalofrío
aha,ajá
Ahasuerus,Asuero
ahead,"al frente de, delante de, adelante"
ahead of one's time,adelantado a su época
ahistorical,ahistórico
Ahriman,Ahrimán
Ahura Mazda,"Ahura Mazda, Ahura-Mazda"
aid,"ayuda, auxilio"
aid,"ayudante, asistente"
aid,"remedio, recurso"
aid,ayudar
Aida,Aída
aide-de-camp,edecán
aide-mémoire,pro memoria
Aidi,perro de montaña del Atlas
AIDS,"SIDA, sida"
aiglet,"herrete [Spain], acetato [Latin America]"
aiguillette,"cordón, cordón militar"
ail,"aquejar, afligir"
ail,"padecer, adolecer"
ail,enfermedad
aileron,alerón
ailing,"enfermo, achacoso, enfermito"
ailment,"dolencia, enfermedad, achaque, alifafe"
ailuro,"eluro-, ailuro-, aeluro-"
ailurophobia,"elurofobia, ailurofobia, aelurofobia"
aim,puntería
aim,objetivo
aim,"objetivo, intención"
aim,"apuntar, dirigir, lazar"
aim,"apuntar, pretender"
aimless,"sin rumbo, sin objeto"
aimlessly,"sin rumbo, sin objeto"
Ainu,ainu
aioli,ajiaceite alioli
Aion,"Aión, Éon"
air,"aerar, airear"
air,retransmitir
air,aire
air,aria
airan,ayran
airbag,"airbag, bolsa de aire"
air base,base aérea
airboat,hidrodeslizador
airborne,"transportado por el aire, aerotransportado"
airborne,volando
airbrush,aerógrafo
airbus,aerobús
air-condition,"climatizar, condicionar con el aire"
air conditioner,"aire acondicionado, climatizador, acondicionador de aire"
air conditioning,aire acondicionado
air conditioning,"aire acondicionado, climatizador"
aircraft,aeronave
aircraft carrier,portaaviones
airdrop,"entrega aérea, entrega por paracaídas, lanzamiento aéreo, lanzamiento en paracaídas"
airfield,"aeródromo, campo de aviación"
airfoil,"perfil alar, perfil aerodinámico, perfil"
air force,fuerza aérea
air freshener,ambientador
air fryer,"conveccionador, freidora de aire"
airhead,"burro, cabeza de chorlito, cabeza hueca, chorlito, estúpido, tontón"
air hole,espiráculo
air hole,(región de) corriente descendente
air hole,respiradero
airlift,puente aéreo
airline,"aerolínea, compañía aérea"
airliner,"avión de pasajeros, avión de línea"
airmail,correo aéreo
airman,"aviador, aviadora"
airmass,masa de aire
air pistol,pistola de aire
airplane,"avión, aeroplano"
air pocket,(región de) corriente descendente
air pollution,contaminación ambiente
airport,aeropuerto
air pump,bomba de aire
air quote,"entre comillas, entre comillas con los dedos"
air-raid shelter,"refugio antiaéreo, refugio antibombas"
air rifle,rifle de aire
airscrew,hélice
airshaft,"conducto de ventilación, foso de ventilación, pozo de ventilación"
airspace,espacio aéreo
airstrip,pista de aterrizaje
air ticket,"pasaje de avión, pasaje de vuelo, pasaje aéreo"
airtight,hermético
airtime,tiempo en antena
airtime,"tiempo aire [Anglicism, Mexico], tiempo facturable"
air traffic control,control de tráfico aéreo
air traffic controller,"controlador de tránsito aéreo, controlador de tráfico aéreo"
airwaves,"radio, televisión"
airway,aerovía
airworthiness,"aptitud para volar, aeronavegabilidad"
airworthy,"navegable, apto para volar"
airy,airoso
aisle,nave
aisle,pasillo
aisle,paso
aitch,hache
ajar,"entreabierto, entornado"
Ajax,Áyax
a journey of a thousand miles begins with a single step,un viaje de mil millas comienza con un solo paso
Akan,"akan, acano"
Akan,"acano, akan"
akashic,akásico
Akhenaten,Akenatón
akimbo,en jarras
akimbo,con los brazos en jarras
akin,emparentado
akin,"semejante, similar"
akinete,acineto
Akkadian,acadio
Aksai Chin,Aksai Chin
Akureyri,Akureyri
Alabama,Alabama
alabandite,alabandina
alabaster,alabastro
alack,ay
alacrity,alacridad
alacrity,"alacridad, presteza, prontitud"
Aladdin,Aladino
Alamo,Álamo
Alan,Alano ; Alán
Alan,alano
al-Andalus,al-Ándalus
Alania,Alania
Alanic,alano
alanine,alanina
Alaric,Alarico
alarm,"alarma, rebato"
alarm,despertador
alarm,alarma
alarm,tocar a rebato
alarm clock,despertador
alarming,alarmante
alarmism,alarmismo
alarmist,alarmista
alas,"ay, ay de mí, aymé, aj, vay, heu, guay"
Alaska,Alaska
Alaskan,"alaskeño, alasqueño"
Alaskan,"alaskeño, alaskeña, alasqueño, alasqueña"
Alaskan Malamute,malamute de Alaska
alaunt,alano
Albacete,Albacete
Alban,Albano
Albania,Albania
Albanian,albanés
Albanian,"albanés, albanesa"
Albany,Albany
albatross,albatros
albedo,albedo
albedo,albédine
albeit,"aunque, no obstante, si bien"
Albert,Alberto
Alberta,Alberta
Albin,Albino
albinism,albinismo
albino,albino
albino,"albino, albina"
Albireo,Albireo
albite,albita
album,álbum
albumen,"albumen, clara"
albumin,albúmina
albuminous,albuminoso
albuminuria,albuminuria
Albuquerque,Albuquerque
Alcalá de Henares,Alcalá de Henares
alcarraza,alcarraza
alcazar,alcázar
alchemical,alquímico
alchemist,alquimista
alchemy,alquimia
Alcibiades,Alcibíades
Alcmene,Alcmena
alcohol,alcohol
alcoholaemia,alcoholemia
alcohol-free,sin alcohol
alcoholic,"alcohólico, escabiador [Latin America, slang]"
alcoholic,"alcohólico, escabiador [Latin America, slang], alcoholista [Latin America]"
alcoholic,alcohólico
Alcoholics Anonymous,Alcohólicos Anónimos
alcoholism,alcoholismo
alcoholometer,"alcoholímetro, alcohómetro"
alcoholometry,alcoholimetría
Alcorcón,Alcorcón
alcove,"hornacina, hueco, nicho"
Alcubierre,Alcubierre
aldaric acid,ácido aldárico
Aldebaran,Aldebarán
aldehyde,aldehído
alder,aliso
alderman,"concejal, regidor"
alditol,alditol
aldolase,aldolasa
aldonic,aldónico
aldonic acid,ácido aldónico
aldopentose,aldopentosa
aldose,aldosa
aldosterone,aldosterona
ale,"cerveza inglesa, ale, cerveza ale"
aleatory,aleatorio
Alectryon,Alectrión
Alemannic,alemánico
alembic,alambique
a leopard cannot change its spots,"genio y figura hasta la sepultura (genius and player until (the) burial), no hay que pedir peras al olmo (there's no use demanding pears from an elm), la cabra siempre tira al monte (the goat always goes to the mountain), quien nace lechón muere cochino (who is born piglet, dies as pig)"
aleph,álef
Aleppo,Alepo
alert,"alerto, vigilante"
alert,"alerta, alarma"
alert,alertar
alertly,con listeza
alertness,vigilancia
Aleutian,aleutiano
Aleutian,"aleutiano, aleutiana"
Aleutian Islands,Islas Aleutianas
alevin,alevín
alewife,"tabernera, cervecera"
alewife,pinchagua
Alexander,Alejandro
Alexander the Great,Alejandro Magno
Alexandra,Alejandra
Alexandria,Alejandría
Alexandria,Alejandra
Alexandrian,alejandrino
Alexandrian Wicca,wicca alexandriana
alexandrine,alejandrino
Alexandroupoli,Alejandrópolis
alexithymia,alexitimia
Alexius,"Alejo, Alexis"
alfalfa,alfalfa
alfaqui,alfaquí
alfiz,alfiz
Alfonsine,alfonsino
Alfonso,Alfonso
Alfred,Alfredo
al fresco,"al aire libre, al fresco"
Alfvén wave,onda de Alfvén
alga,alga
algal bloom,proliferación de algas
algebra,álgebra
algebraic,algebraico
algebraically,algebraicamente
algebraically closed,algebraicamente cerrado
algebraic equation,ecuación algebraica
algebraic geometry,geometría algebraica
algebraic integer,número entero algebraico
algebraist,algebrista
Algeciras,Algeciras
Algeria,Argelia
Algerian,"argelino, argelina"
Algerian,argelino
Algerian Arabic,árabe argelino
Algherese,alguerés
Alghero,Alguer
algid,álgido
algidity,algidez
Algiers,Argel
alginate,alginato
algolagnia,algolagnia
algologist,algólogo
algology,"algología, ficología"
algometry,algometría
algophilia,"algofilia, masoquismo"
algorithm,algoritmo
algorithmic,algorítmico
Alhambra,Alhambra
alias,"alias, seudónimo, sobrenombre, apodo"
alibi,coartada
Alicante,Alicante
Alice,Alicia
Alice in Wonderland,de Alicia en el mundo de maravillas
a lie has no legs,"antes se coge al mentiroso que al cojo, la mentira tiene patas cortas [Argentina]"
alien,"desconocido, desconocida, advena"
alien,"extranjero, extranjera"
alien,"extraterrestre, alienígena"
alien,alienígena
alien,"ajeno, alienígeno"
alien,"alienígena, extraterrestre"
alienate,"alienar, enajenar"
alienate,alienar
alienated,alienado
